,max_E,min_E
GAPD_num1,0.007890507600907095,0.0
ICDHyr,0.0020869881681667857,0.0020869881681667857
GND,0.005419896940718977,0.003613264627145924
PGL,0.026646225229143804,0.01776415015276224
MDH2,0.03814616802589837,0.0
PYRC,0.018396615236276257,0.008699326582193658
AKGDH,0.0019588661180479925,0.0019588661180474196
PDH,0.0020267815379835423,0.0
CYTBDpp,0.030652509884481885,0.0
G3PD2_reverse,0.033401539991550884,0.0
DHDPRy,0.001548819860113362,0.0015488198601133617
THDPS_num2,0.001845274807668471,0.0
FBA,0.00213303336256925,0.0
NADPHQR2_num4,0.0028168027774742917,0.0
G3PT,0.0032512719738554277,0.0
