,max_concentration,min_concentration
13dpg_c,-12.178119589078019,-12.178121915560766
atp_c,-3.9120230049999996,-12.206072647005959
aspsa_c,-14.508655413517232,-14.508657740000004
nadh_c,-6.214608097994045,-14.508657740000004
nad_c,-3.912023005,-12.206072647005959
nadp_c,-6.214608097994045,-14.508657740000004
nadph_c,-3.9120230049999996,-12.206072647005959
pi_c,-8.05322543610048,-8.053227762583228
4pasp_c,-12.539008150651055,-12.539010477133806
3pg_c,-9.396316021919182,-9.39631834840193
adp_c,-6.214608097994045,-14.508657740000004
pep_c,-14.508655413517255,-14.508657740000004
2pg_c,-13.540310455988866,-13.540312782471615
asp__L_c,-3.912023005,-3.9120253314827718
g3p_c,-3.912023005,-3.9120253314827487
